Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Resultdifference,season
2016/11/4,31,LAC,MEM,W,@,regular,1,32.92,6,16,0.375,1,8,0.125,14,15,0.933,1,3,4,11,6,2,1,4,27,31.9,10,0.597,0.406,3.2,8.9,6.1,69,9.1,5,4.2,31.1,138,80,29,11,2016-2017
2016/11/5,31,LAC,SAS,W,@,regular,1,28.58,4,11,0.364,0,1,0,1,1,1,1,7,8,10,2,0,1,2,9,12.9,25,0.393,0.364,4.2,28.7,16.6,41.7,3.6,0,8,19.9,110,94,4.2,24,2016-2017
2016/11/7,31,LAC,DET,W,Home,regular,1,24.57,8,10,0.8,5,5,1,3,4,0.75,0,6,6,8,2,1,0,1,24,29.5,33,1.02,1.05,0,21.3,13.8,61.6,4.2,2.8,0,24,202,81,35.9,32,2016-2017
2016/11/9,31,LAC,POR,W,Home,regular,1,23.47,7,14,0.5,3,6,0.5,2,2,1,1,3,4,7,1,0,1,2,19,17.7,32,0.638,0.607,4.1,11.8,8,60.5,2.2,0,6.3,29.9,138,88,15.9,31,2016-2017
2016/11/11,31,LAC,OKC,W,@,regular,1,35.78,5,14,0.357,2,6,0.333,5,5,1,0,6,6,10,1,0,0,2,17,18.2,6,0.525,0.429,0,18.7,8.9,41.5,1.4,0,0,19.5,135,110,6.1,2,2016-2017
2016/11/12,31,LAC,MIN,W,@,regular,1,31.87,4,7,0.571,3,4,0.75,8,8,1,0,4,4,8,2,0,4,2,19,19.7,17,0.903,0.786,0,12.6,7.4,35.5,3.2,0,27.5,20.6,145,109,10.5,14,2016-2017
2016/11/14,31,LAC,BRK,W,Home,regular,1,25.08,8,11,0.727,4,6,0.667,1,1,1,1,3,4,9,5,0,1,2,21,27.6,39,0.918,0.909,5.2,13.4,9.6,52.7,9.8,0,8,21.6,178,85,29.7,32,2016-2017
2016/11/16,31,LAC,MEM,L,Home,regular,1,33.75,3,11,0.273,1,4,0.25,2,4,0.5,0,2,2,6,5,0,2,4,9,7.9,2,0.353,0.318,0,7.9,3.6,26.1,7.6,0,13.6,20.2,82,111,-2.2,-4,2016-2017
2016/11/18,31,LAC,SAC,W,@,regular,1,32.98,2,10,0.2,1,6,0.167,6,8,0.75,1,8,9,12,4,0,3,4,11,14.9,1,0.407,0.25,4.4,28.4,17.7,47.1,5.8,0,18.2,22.9,107,104,1.7,6,2016-2017
2016/11/19,31,LAC,CHI,W,Home,regular,1,34.22,7,14,0.5,3,5,0.6,2,3,0.667,3,1,4,8,2,0,4,2,19,16.8,10,0.62,0.607,11.4,3.3,7.1,42.9,3.3,0,20.7,27.1,121,114,9.8,7,2016-2017
