Date,Age,Tm,Opp,Result,Game Type,Seasontype,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
2018/4/1,32-330,HOU,SAS,L (-17),@,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2018/4/3,32-332,HOU,WAS,W (+16),,regular,1,32:39:00,3,11,0.273,2,9,0.222,0,0,,0,2,2,6,0,0,1,2,8,4.5,11,0.364,0.364,0,7.5,3.6,22.9,0,0,8.3,16.8,97,118,-9.8
2018/4/5,32-334,HOU,POR,W (+2),,regular,1,31:07:00,11,19,0.579,3,8,0.375,2,2,1,0,4,4,5,0,0,2,2,27,20,1,0.679,0.658,0,14,7.3,45.3,0,0,9.1,34.2,129,106,9.1
2018/4/7,32-336,HOU,OKC,L (-6),,regular,1,35:29:00,6,15,0.4,2,8,0.25,3,3,1,1,3,4,9,1,0,3,4,17,13.2,3,0.521,0.467,4.1,8.1,6.5,43.7,1.4,0,15.5,25.3,112,116,0.9
2018/4/10,32-339,HOU,LAL,W (+6),@,regular,1,27:14:00,9,14,0.643,4,7,0.571,0,0,,0,3,3,6,1,0,0,3,22,20.7,2,0.786,0.786,0,10.6,5.5,50,1.7,0,0,21.8,165,99,17.4
2018/4/11,32-340,HOU,SAC,L (-13),@,regular,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2016/10/27,31-174,LAC,POR,W (+8),@,regular,1,33:15:00,9,19,0.474,3,8,0.375,6,7,0.857,0,5,5,5,1,0,1,2,27,21.1,-4,0.611,0.553,0,17.2,7.5,30.1,1.4,0,4.3,28.2,133,107,11.1
2016/10/30,31-177,LAC,UTA,W (+13),,regular,1,28:56:00,3,8,0.375,1,3,0.333,2,2,1,0,3,3,9,3,0,3,1,9,11.4,14,0.507,0.438,0,11.8,5.4,51.4,5.6,0,25.3,18.8,102,79,9.1
2016/10/31,31-178,LAC,PHO,W (+18),,regular,1,29:57:00,8,15,0.533,2,4,0.5,6,7,0.857,0,5,5,8,2,0,2,4,24,21.8,21,0.664,0.6,0,16.4,9.1,47.2,3,0,10,28.6,130,90,11.8
2016/11/2,31-180,LAC,OKC,L (-2),,regular,1,32:45:00,4,11,0.364,2,4,0.5,5,6,0.833,1,10,11,9,6,0,5,1,15,19.1,-7,0.55,0.455,2.9,34.1,17.3,46.9,8.7,0,26.8,24.4,96,68,14.5
2016/11/4,31-182,LAC,MEM,W (+11),@,regular,1,32:55:00,6,16,0.375,1,8,0.125,14,15,0.933,1,3,4,11,6,2,1,4,27,31.9,10,0.597,0.406,3.2,8.9,6.1,69,9.1,5,4.2,31.1,138,80,29
2016/11/5,31-183,LAC,SAS,W (+24),@,regular,1,28:35:00,4,11,0.364,0,1,0,1,1,1,1,7,8,10,2,0,1,2,9,12.9,25,0.393,0.364,4.2,28.7,16.6,41.7,3.6,0,8,19.9,110,94,4.2
2016/11/7,31-185,LAC,DET,W (+32),,regular,1,24:34:00,8,10,0.8,5,5,1,3,4,0.75,0,6,6,8,2,1,0,1,24,29.5,33,1.02,1.05,0,21.3,13.8,61.6,4.2,2.8,0,24,202,81,35.9
2016/11/9,31-187,LAC,POR,W (+31),,regular,1,23:28,7,14,0.5,3,6,0.5,2,2,1,1,3,4,7,1,0,1,2,19,17.7,32,0.638,0.607,4.1,11.8,8,60.5,2.2,0,6.3,29.9,138,88,15.9
2016/11/11,31-189,LAC,OKC,W (+2),@,regular,1,35:47:00,5,14,0.357,2,6,0.333,5,5,1,0,6,6,10,1,0,0,2,17,18.2,6,0.525,0.429,0,18.7,8.9,41.5,1.4,0,0,19.5,135,110,6.1
2016/11/12,31-190,LAC,MIN,W (+14),@,regular,1,31:52:00,4,7,0.571,3,4,0.75,8,8,1,0,4,4,8,2,0,4,2,19,19.7,17,0.903,0.786,0,12.6,7.4,35.5,3.2,0,27.5,20.6,145,109,10.5
2016/11/14,31-192,LAC,BRK,W (+32),,regular,1,25:05:00,8,11,0.727,4,6,0.667,1,1,1,1,3,4,9,5,0,1,2,21,27.6,39,0.918,0.909,5.2,13.4,9.6,52.7,9.8,0,8,21.6,178,85,29.7
2016/11/16,31-194,LAC,MEM,L (-4),,regular,1,33:45:00,3,11,0.273,1,4,0.25,2,4,0.5,0,2,2,6,5,0,2,4,9,7.9,2,0.353,0.318,0,7.9,3.6,26.1,7.6,0,13.6,20.2,82,111,-2.2
2016/11/18,31-196,LAC,SAC,W (+6),@,regular,1,32:59:00,2,10,0.2,1,6,0.167,6,8,0.75,1,8,9,12,4,0,3,4,11,14.9,1,0.407,0.25,4.4,28.4,17.7,47.1,5.8,0,18.2,22.9,107,104,1.7
2016/11/19,31-197,LAC,CHI,W (+7),,regular,1,34:13:00,7,14,0.5,3,5,0.6,2,3,0.667,3,1,4,8,2,0,4,2,19,16.8,10,0.62,0.607,11.4,3.3,7.1,42.9,3.3,0,20.7,27.1,121,114,9.8
2016/11/21,31-199,LAC,TOR,W (+8),,regular,1,35:16:00,8,14,0.571,3,8,0.375,7,7,1,0,3,3,12,2,0,4,1,26,26.3,8,0.761,0.679,0,10.2,5.5,58.1,2.8,0,19,26.9,140,115,12.9
2016/11/23,31-201,LAC,DAL,W (+20),@,regular,1,25:38:00,6,10,0.6,2,4,0.5,4,4,1,1,2,3,4,4,0,0,1,18,21.1,15,0.765,0.7,4.7,8,6.5,23.6,7.6,0,0,20.5,164,97,16.9
2016/11/25,31-203,LAC,DET,L (-11),@,regular,1,33:09:00,2,9,0.222,1,4,0.25,3,3,1,0,4,4,14,1,0,5,4,8,7.9,-13,0.388,0.278,0,16.1,7.7,63.1,1.6,0,32.6,22.5,89,118,-5.1
2016/11/27,31-205,LAC,IND,L (-21),@,regular,1,32:04:00,3,11,0.273,0,6,0,7,7,1,0,4,4,4,2,1,4,1,13,8.8,-15,0.462,0.273,0,12.7,6.5,34.2,3.2,2.1,22.1,26.6,81,95,1.6
2016/11/29,31-207,LAC,BRK,L (-5),@,regular,1,44:30:00,11,26,0.423,4,7,0.571,0,0,,3,7,10,13,2,1,4,2,26,23.4,0,0.5,0.5,6.9,17.2,11.8,53.5,2.2,2,13.3,29.5,108,104,8.1
2016/12/1,31-209,LAC,CLE,W (+19),@,regular,1,24:52:00,5,11,0.455,3,7,0.429,3,3,1,2,4,6,9,1,0,0,4,16,18.6,17,0.649,0.591,8.8,19.8,14,53.7,2,0,0,21.5,163,98,17.1
2016/12/2,31-210,LAC,NOP,W (+18),@,regular,1,34:00:00,6,11,0.545,1,4,0.25,4,4,1,1,7,8,13,1,0,2,2,17,21.8,25,0.666,0.591,3.4,22,13,50.2,1.5,0,13.6,20,146,104,9
2016/12/4,31-212,LAC,IND,L (-9),,regular,1,35:12:00,5,9,0.556,2,5,0.4,6,7,0.857,0,2,2,11,1,0,5,3,18,16.4,8,0.745,0.667,0,6.8,3.1,51.4,1.4,0,29.3,20.6,126,118,5.1
2016/12/7,31-215,LAC,GSW,L (-17),,regular,1,32:10:00,7,14,0.5,1,6,0.167,0,0,,1,5,6,5,1,0,2,4,15,11.1,-16,0.536,0.536,2.9,17.8,9.6,29.2,1.6,0,12.5,20.7,112,118,3.3
2016/12/10,31-218,LAC,NOP,W (+28),,regular,1,29:50:00,8,16,0.5,3,6,0.5,1,2,0.5,0,5,5,20,3,0,0,3,20,28.9,21,0.592,0.594,0,20.6,10.9,78.2,4.9,0,0,25.2,162,100,19
2016/12/12,31-220,LAC,POR,W (+1),,regular,1,36:25:00,7,14,0.5,3,6,0.5,4,4,1,1,4,5,14,2,0,2,3,21,24.5,5,0.666,0.607,3.1,13.9,8.2,56.3,2.7,0,11.3,20.7,148,124,10.4
2016/12/14,31-222,LAC,ORL,W (+5),@,regular,1,31:53:00,5,9,0.556,1,2,0.5,5,6,0.833,0,2,2,10,2,0,4,3,16,15.7,2,0.687,0.611,0,6.4,3.7,51.1,3.3,0,25.6,23.2,126,117,3.5
2016/12/16,31-224,LAC,MIA,W (+4),@,regular,1,34:26:00,6,15,0.4,1,4,0.25,4,6,0.667,0,5,5,6,0,0,1,3,17,11.6,0,0.482,0.433,0,13.2,7.2,30.3,0,0,5.4,24.6,105,104,0.7
2016/12/18,31-226,LAC,WAS,L (-7),@,regular,1,37:02:00,6,15,0.4,1,5,0.2,0,1,0,1,3,4,12,2,0,3,4,13,11.9,-5,0.421,0.433,3.6,10.5,7.1,44.2,2.7,0,16.3,21.2,104,119,-0.6
2016/12/20,31-228,LAC,DEN,W (+17),,regular,1,26:28:00,7,14,0.5,2,5,0.4,0,0,,0,8,8,15,1,0,3,1,16,19.5,37,0.571,0.571,0,30.9,17.5,79.3,1.9,0,17.6,29.7,127,100,9.7
2016/12/22,31-230,LAC,SAS,W (+5),,regular,1,23:23,6,11,0.545,2,2,1,5,6,0.833,0,6,6,6,2,0,2,2,19,18.5,6,0.696,0.636,0,23.7,13,46.2,4.3,0,12.8,30.7,133,96,15.8
2016/12/23,31-231,LAC,DAL,L (-2),,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2016/12/25,31-233,LAC,LAL,L (-9),@,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2016/12/26,31-234,LAC,DEN,L (-4),,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2016/12/28,31-236,LAC,NOP,L (-4),@,regular,1,30:37:00,7,15,0.467,2,7,0.286,5,5,1,3,5,8,6,1,0,1,3,21,19.9,-4,0.61,0.533,8.9,15.7,12.2,36.1,1.7,0,5.5,25.3,140,109,12.9
2016/12/30,31-238,LAC,HOU,L (-24),@,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2016/12/31,31-239,LAC,OKC,L (-26),@,regular,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2017/1/2,31-241,LAC,PHO,W (+11),,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2017/1/4,31-243,LAC,MEM,W (+9),,regular,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did,Did
2017/1/6,31-245,LAC,SAC,W (+8),@,regular,1,31:26:00,3,5,0.6,1,2,0.5,7,8,0.875,0,6,6,12,3,0,3,2,14,20.7,9,0.822,0.7,0,18.7,9.6,53.2,5.1,0,26,17.4,147,101,12.2
2017/1/8,31-247,LAC,MIA,W (+12),,regular,1,28:52:00,7,11,0.636,1,3,0.333,4,5,0.8,1,5,6,18,2,0,1,4,19,27.9,23,0.72,0.682,3.5,15.7,9.9,100,3.5,0,7,21.9,160,86,26.3
2017/1/11,31-250,LAC,ORL,W (+9),,regular,1,32:41:00,6,13,0.462,1,5,0.2,5,6,0.833,0,7,7,6,4,0,5,3,18,15,10,0.575,0.5,0,22.3,12.2,29.2,5.8,0,24.2,28,100,88,2.4
2017/1/14,31-253,LAC,LAL,W (+16),,regular,1,30:33:00,7,15,0.467,2,6,0.333,4,4,1,2,3,5,13,2,0,4,2,20,20.9,17,0.597,0.533,7.7,11.5,9.6,55.2,3.3,0,19.3,31.8,121,100,10
2017/1/16,31-255,LAC,OKC,W (+22),,regular,1,13:47,3,5,0.6,2,3,0.667,0,0,,0,3,3,6,1,0,3,0,8,8.8,15,0.8,0.8,0,22.7,12.6,60.5,3.6,0,37.5,26.1,121,98,10.8
2017/1/19,31-258,LAC,MIN,L (-3),,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2017/1/21,31-260,LAC,DEN,L (-25),@,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2017/1/23,31-262,LAC,ATL,W (+10),@,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2017/1/24,31-263,LAC,PHI,L (-11),@,regular,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not,Not
2017/1/28,31-267,LAC,GSW,L (-46),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/1,31-271,LAC,PHO,W (+10),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/2,31-272,LAC,GSW,L (-13),,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/5,31-275,LAC,BOS,L (-5),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/6,31-276,LAC,TOR,L (-9),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/8,31-278,LAC,NYK,W (+4),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/11,31-281,LAC,CHO,W (+5),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/13,31-283,LAC,UTA,W (+16),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/15,31-285,LAC,ATL,W (+15),,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/23,31-293,LAC,GSW,L (-10),@,regular,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac,Inac
2017/2/24,31-294,LAC,SAS,L (-8),,regular,1,32:51:00,6,14,0.429,2,3,0.667,3,4,0.75,0,6,6,5,2,0,4,4,17,10.9,0,0.539,0.5,0,20.4,10.1,27.9,3.2,0,20.2,28.4,94,111,0.8
2017/2/26,31-296,LAC,CHO,W (+3),,regular,1,40:31:00,4,18,0.222,2,6,0.333,5,6,0.833,0,9,9,17,1,0,0,3,15,18,18,0.363,0.278,0,31.8,13.1,55.9,1.3,0,0,22.3,116,121,1.7
2017/3/1,31-299,LAC,HOU,L (-19),,regular,1,35:41:00,5,13,0.385,3,7,0.429,3,3,1,1,1,2,11,2,0,1,3,16,17.4,-11,0.559,0.5,2.5,3,2.7,41.9,2.8,0,6.5,19.3,130,132,6.7
2017/3/3,31-301,LAC,MIL,L (-11),@,regular,1,29:23:00,7,11,0.636,5,6,0.833,2,2,1,0,4,4,5,1,0,4,5,21,15.8,5,0.884,0.864,0,19.2,10.4,33.3,1.7,0,25.2,25.2,130,119,8.8
2017/3/4,31-302,LAC,CHI,W (+10),@,regular,1,32:31:00,7,14,0.5,2,4,0.5,1,2,0.5,0,2,2,4,2,1,1,2,17,13.9,5,0.571,0.571,0,7.4,3.6,19.3,3.2,2.2,6.3,22.1,118,97,7.9
2017/3/6,31-304,LAC,BOS,W (+14),,regular,1,30:09:00,8,14,0.571,1,3,0.333,6,8,0.75,1,4,5,4,3,0,5,1,23,17.9,1,0.656,0.607,4.2,13.8,9.5,24.2,4.9,0,22.2,33.6,109,99,5.8
2017/3/8,31-306,LAC,MIN,L (-16),@,regular,1,32:10:00,3,9,0.333,1,4,0.25,0,1,0,1,2,3,10,1,0,3,2,7,7,-16,0.371,0.389,3.2,7.5,5.2,48.9,1.6,0,24.1,17.4,91,120,-2.8
2017/3/9,31-307,LAC,MEM,W (+16),@,regular,1,27:18:00,8,15,0.533,3,6,0.5,0,0,,1,3,4,7,0,0,2,1,19,15.8,9,0.633,0.633,5,11.5,8.7,47.5,0,0,11.8,28.7,126,107,8.4
2017/3/11,31-309,LAC,PHI,W (+12),,regular,1,34:14:00,11,16,0.688,4,4,1,4,4,1,0,3,3,7,2,0,3,1,30,27.6,8,0.845,0.813,0,10.5,5.1,39.9,2.9,0,14.5,27.3,144,105,14.4
2017/3/13,31-311,LAC,UTA,L (-6),@,regular,1,35:03:00,11,21,0.524,5,11,0.455,6,6,1,1,5,6,7,1,0,1,4,33,28.2,5,0.698,0.643,3.7,20.7,11.7,40.1,1.6,0,4.1,35.9,143,130,16.6
2017/3/15,31-313,LAC,MIL,L (-1),,regular,1,35:57:00,2,10,0.2,1,4,0.25,1,1,1,1,4,5,7,1,0,6,4,6,0,6,0.287,0.25,3.5,13.4,8.6,28.9,1.4,0,36.5,21.4,59,104,-11.4
2017/3/16,31-314,LAC,DEN,L (-15),@,regular,1,30:07:00,8,12,0.667,2,3,0.667,0,0,,0,1,1,14,1,0,2,5,18,19.9,-1,0.75,0.75,0,3.9,1.9,71.4,1.7,0,14.3,22.4,153,138,7.8
2017/3/18,31-316,LAC,CLE,W (+30),,regular,1,27:11:00,0,8,0,0,5,0,5,5,1,0,4,4,7,0,0,3,2,5,1.7,20,0.245,0,0,13.8,7.5,30.9,0,0,22.7,22.2,68,84,-12.3
2017/3/20,31-318,LAC,NYK,W (+9),,regular,1,28:29:00,5,11,0.455,2,5,0.4,1,1,1,0,5,5,13,1,0,0,2,13,18.1,18,0.568,0.545,0,17.6,9.3,63.4,1.8,0,0,18.1,148,109,10.5
2017/3/21,31-319,LAC,LAL,W (+24),@,regular,1,25:01:00,9,15,0.6,4,8,0.5,5,5,1,2,6,8,4,1,0,2,2,27,24.3,17,0.785,0.733,9.6,23.5,17.2,27.7,2,0,10.4,32.6,155,108,16.5
2017/3/23,31-321,LAC,DAL,L (-2),@,regular,1,34:42:00,6,13,0.462,1,5,0.2,2,2,1,2,4,6,6,3,0,4,3,15,12.9,3,0.54,0.5,7.1,13.8,10.5,30,4.4,0,22.4,23.3,102,98,4.4
2017/3/25,31-323,LAC,UTA,W (+13),,regular,1,28:42:00,5,18,0.278,0,8,0,4,4,1,1,2,3,5,1,0,3,0,14,6.2,4,0.354,0.278,4,7,5.6,28.2,1.8,0,13.2,35.8,81,106,-7
2017/3/26,31-324,LAC,SAC,L (-1),,regular,1,31:09:00,4,9,0.444,3,5,0.6,6,6,1,1,3,4,9,1,1,1,1,17,20.5,9,0.73,0.611,3.3,10.3,6.8,53.7,1.7,2.8,7.9,19.6,152,104,14.4
2017/3/29,31-327,LAC,WAS,W (+9),,regular,1,37:23:00,9,15,0.6,2,5,0.4,7,8,0.875,1,2,3,13,1,0,1,2,27,29.3,15,0.729,0.667,3.5,5.5,4.6,47.1,1.3,0,5.1,22.9,161,128,11.3
2017/3/30,31-328,LAC,PHO,W (+6),@,regular,1,35:17:00,10,17,0.588,1,4,0.25,8,9,0.889,1,4,5,10,1,0,1,2,29,28.8,8,0.692,0.618,3.7,12.1,8.3,44.8,1.3,0,4.6,27.4,153,116,10.7
2017/4/1,31-330,LAC,LAL,W (+11),,regular,1,37:23:00,9,14,0.643,1,3,0.333,10,10,1,0,4,4,12,0,0,6,1,29,26,20,0.788,0.679,0,10.3,6.4,58.3,0,0,24.6,31,135,114,5.1
2017/4/5,31-334,LAC,DAL,W (+11),,regular,1,33:11:00,8,14,0.571,3,5,0.6,3,3,1,0,3,3,11,2,0,5,4,22,19.4,21,0.718,0.679,0,9.4,5.2,60.2,3,0,24.6,28.4,123,104,8
2017/4/8,31-337,LAC,SAS,W (+11),@,regular,1,30:30:00,9,16,0.563,1,3,0.333,0,0,,0,8,8,8,3,1,2,2,19,20.3,3,0.594,0.594,0,28.6,14.8,45.2,5.3,2.7,11.1,29.5,118,87,15
2017/4/10,31-339,LAC,HOU,W (+29),,regular,1,28:56:00,5,12,0.417,2,3,0.667,7,7,1,0,5,5,9,4,0,0,1,19,24,32,0.63,0.5,0,18,9.2,39.6,6.7,0,0,22.3,153,86,18.4
2017/4/12,31-341,LAC,SAC,W (+20),,regular,1,34:41:00,6,12,0.5,3,5,0.6,2,2,1,1,4,5,9,2,0,1,1,17,19.8,18,0.66,0.625,3.4,14.2,8.6,35.9,3.1,0,7.2,19.2,145,105,9.3
2015/10/28,30-175,LAC,SAC,W (+7),@,regular,1,36:34:00,6,14,0.429,1,4,0.25,5,6,0.833,0,5,5,11,2,0,2,1,18,19,15,0.541,0.464,0,13.7,7.2,42.3,2.6,0,10.7,22.5,118,102,4.9
2015/10/29,30-176,LAC,DAL,W (+16),,regular,1,24:22:00,3,8,0.375,1,4,0.25,2,2,1,0,3,3,5,1,0,0,1,9,9.6,15,0.507,0.438,0,10,5.5,30.7,2,0,0,16,121,91,3
2015/10/31,30-178,LAC,SAC,W (+5),,regular,1,38:28:00,5,13,0.385,1,5,0.2,6,8,0.75,0,6,6,11,1,0,5,2,17,13.8,19,0.515,0.423,0,13.9,8.3,41.9,1.2,0,23.2,23.7,98,106,-1.4
2015/11/2,30-180,LAC,PHO,W (+6),,regular,1,30:47:00,7,15,0.467,1,2,0.5,2,2,1,0,3,3,5,1,0,5,3,17,8.5,-4,0.535,0.5,0,7.9,4.6,29.9,1.6,0,23.9,31.9,86,101,-4.8
2015/11/4,30-182,LAC,GSW,L (-4),@,regular,1,30:53:00,9,15,0.6,1,3,0.333,5,7,0.714,0,3,3,9,3,0,2,4,24,22.9,-2,0.664,0.633,0,11.7,5.6,48.2,4.8,0,10,28.7,134,109,14.6
